Term,IDF
депортация,1.39794
депортировать,2.0
депп,2.0
депрессия,1.69897
депутат,0.677781
депутатский,2.0
дер,1.221849
дербенд,2.0
дербендом,2.0
дербент,1.69897
дерби,2.0
дервента,1.69897
дервиш,1.69897
дергуновый,2.0
деревня,0.853872
дерево,0.823909
деревушка,2.0
деревянный,1.39794
держава,0.79588
державить,2.0
державний,2.0
державность,1.69897
державыцентральный,2.0
держание,2.0
держать,1.0
держаться,1.09691
держивать,2.0
держрибагентство,2.0
дериватив,2.0
дерипаск,1.69897
деркач,2.0
дерновый,1.69897
дерулёд,2.0
десант,1.09691
десантироваться,2.0
десантник,1.69897
десантный,1.154902
десить,1.69897
деск,1.69897
десктоп,2.0
десмонд,1.69897
деспотия,2.0
деспотович,2.0
деспуант,1.69897
дестабилизация,1.522879
дестабилизировать,2.0
деструктивный,1.69897
деструктор,1.39794
деструкторить,2.0
десть,1.69897
десятеричный,2.0
десятилетие,0.744727
десятилетний,1.522879
десятина,2.0
десятинный,2.0
десятичный,2.0
десятка,0.886057
десяток,1.154902
десятый,1.39794
десять,0.920819
детализация,2.0
детализировать,2.0
деталь,0.920819
детально,1.69897
детальный,2.0
детектив,1.522879
детективный,2.0
детектор,2.0
детинец,2.0
детлеф,2.0
детмольд,2.0
детонация,2.0
детский,0.769551
детско,2.0
детство,1.39794
деться,2.0
детёныш,2.0
дефакто,2.0
дефект,1.522879
дефективность,2.0
дефективный,2.0
дефектолог,2.0
дефектология,2.0
дефенс,2.0
дефинисали,2.0
дефинисан,2.0
дефиниш,2.0
дефицит,1.39794
дефицитный,2.0
дефо,1.69897
дефолт,1.69897
децембар,2.0
децембра,2.0
децентрализация,2.0
децимал,2.0
децть,1.69897
дешава,2.0
дешевизна,2.0
дешен,1.69897
дешт,2.0
деште,1.69897
дешёвый,1.09691
дея,2.0
деянович,2.0
деятель,0.619789
деятельница,2.0
деятельно,1.69897
деятельность,0.431798
джа,1.39794
джабер,1.69897
джава,1.39794
джавад,2.0
джавадие,2.0
джавадийя,2.0
джавар,1.39794
джавид,1.522879
джаз,2.0
джазовый,1.522879
джакарта,1.39794
джакомо,1.522879
джамал,2.0
джамаль,2.0
джамарать,2.0
джамахирия,1.69897
джами,1.69897
джамма,2.0
джамму,1.39794
джамшидие,2.0
джанат,2.0
джанггорбануть,2.0
джанкат,2.0
джанкойский,2.0
джаннатабад,2.0
джарвис,1.522879
джаред,2.0
джаркханда,1.69897
джастин,1.154902
джахан,2.0
джахра,2.0
джачинто,2.0
джаяпур,1.69897
джебель,1.69897
джедай,2.0
джедид,2.0
джез,2.0
джей,1.154902
джейк,1.522879
джейкоб,1.69897
джейкобс,2.0
джейкобсон,1.69897
джеймс,0.552842
джейн,1.30103
джейсон,1.69897
джек,0.79588
джексон,1.39794
джелалабад,1.69897
джелать,2.0
джеллуд,2.0
джеляловый,2.0
джеляль,1.69897
джема,2.0
джемим,2.0
джеминь,1.69897
джемма,1.39794
джена,1.69897
дженерик,2.0
дженкинс,1.69897
дженкс,2.0
дженна,1.69897
дженни,2.0
дженнифер,1.69897
дженрик,1.69897
джентльменский,1.69897
дженять,1.39794
джеральд,2.0
джеральдин,2.0
джереми,1.522879
джерри,2.0
джерси,1.221849
джесси,2.0
джессика,1.522879
джет,2.0
джефри,2.0
джефф,2.0
джеффри,1.221849
джи,2.0
джиа,1.69897
джибить,1.69897
джибути,2.0
джига,2.0
джигинский,1.69897
джигит,1.69897
джидда,1.30103
джилла,2.0
джиллиана,2.0
джильс,2.0
джим,2.0
джимбо,2.0
джимбовесвп,2.0
джимбовёс,2.0
джимми,1.39794
джимона,2.0
джина,1.522879
джинджич,2.0
джиный,1.69897
джихад,2.0
джо,1.154902
джоан,1.221849
джоанна,1.522879
джобь,2.0
джован,2.0
джованни,1.522879
джодить,2.0
джозеф,0.958607
джозефина,2.0
джойнсон,2.0
джокович,2.0
джолицо,2.0
джоля,1.69897
джомолунгма,2.0
джомхурить,2.0
джон,0.60206
джонас,2.0
джонатан,1.522879
джонни,1.69897
джонс,1.154902
джонсон,1.0
джонстон,1.69897
джордан,1.522879
джордж,0.721246
джорджевич,2.0
джорджиный,2.0
джорджия,1.522879
джоунс,2.0
джохор,1.69897
джошуа,1.39794
джоэли,1.69897
джуба,2.0
джугара,2.0
джуджак,1.69897
джудит,1.69897
джудить,1.69897
джузеппе,1.39794
джуканович,1.69897
джукич,2.0
джулиан,1.522879
джулианный,2.0
джулиена,2.0
джулио,2.0
джулиус,1.69897
джулия,1.522879
джуллаби,2.0
джульета,1.69897
джуля,1.39794
джума,2.0
джуна,1.69897
джуно,2.0
джурджан,2.0
джурджание,2.0
джурджу,2.0
дзапшба,2.0
дзен,1.39794
дзержинск,2.0
дзержинский,2.0
дзеркало,2.0
дзеффирелли,2.0
дзот,2.0
дзюдо,1.522879
дзюнъить,2.0
дзёсэя,2.0
дзёхаца,2.0
диа,2.0
диабет,2.0
диагностика,2.0
диагностический,2.0
диагональ,1.69897
диаграмма,2.0
диаз,1.69897
диакон,2.0
диалект,1.221849
диалектика,1.154902
диалектный,2.0
диалог,1.30103
диаман,1.69897
диана,1.30103
диапазон,1.154902
диас,1.69897
диаспора,1.30103
диафильм,2.0
диван,1.69897
диверсионный,1.69897
диверсификация,2.0
диверсифицировать,2.0
диверсия,1.69897
дивиденд,2.0
дивие,2.0
дивизион,2.0
дивизия,1.0
дивный,2.0
диджей,1.39794
дидье,2.0
диего,1.39794
диета,1.69897
дизайн,1.221849
дизайнер,1.0
дизайнерский,2.0
дизассемблирование,2.0
дизель,2.0
дизельный,2.0
дизентерия,1.69897
дизина,2.0
дизраэли,2.0
дизтопливо,2.0
дизфуля,2.0
дик,1.522879
дикарь,2.0
дикий,1.221849
дикинсон,2.0
диккенс,1.522879
диковинный,2.0
диксон,2.0
диктат,2.0
диктатор,1.522879
диктаторский,2.0
диктатура,1.69897
диктовать,1.39794
диктор,1.69897
диктофон,2.0
дилетант,1.69897
диллинджер,1.69897
диля,1.69897
дима,2.0
димапур,1.69897
димеола,1.69897
диметок,2.0
димитрий,1.39794
димич,2.0
димный,2.0
диморфизм,2.0
димя,1.69897
дин,1.0
динамизм,1.69897
динамика,1.045757
динамит,1.69897
динамичанин,2.0
динамически,1.39794
динамический,1.221849
динамичный,1.522879
динамо,2.0
динаполоть,2.0
динар,1.154902
династийный,2.0
династический,1.69897
династия,0.823909
динмухамед,1.69897
дино,2.0
динозавр,2.0
диоклетиан,2.0
диомид,1.69897
диомидис,2.0
дион,2.0
дионисий,1.69897
дипа,1.522879
диплоидный,2.0
диплом,2.0
дипломат,0.853872
дипломатический,0.677781
дипломатия,1.30103
дипломный,2.0
дипмиссия,2.0
дипотношение,1.69897
диппаспорт,2.0
дипсобственность,2.0
дирак,2.0
директан,2.0
директива,1.39794
директор,0.721246
директория,2.0
дирекционный,2.0
дирекция,1.522879
дирижабль,1.69897
дирижёр,1.154902
диркс,2.0
дирхам,2.0
дирхем,2.0
дис,1.69897
дисбаланс,2.0
диск,1.39794
дискавери,1.69897
дискомфорт,2.0
дисконт,2.0
дискотека,1.69897
дискретность,2.0
дискриминация,1.30103
дискриминировать,2.0
дискуссионный,2.0
дискуссия,1.045757
дислокация,1.69897
дислоцировать,2.0
дисней,2.0
дисплей,1.69897
диссернуть,2.0
диссертация,1.30103
диссидент,1.522879
диссидентский,2.0
диссонанс,2.0
дистанционный,1.69897
дистанцироваться,2.0
дистанция,1.0
дистель,1.69897
дистрибуиран,2.0
дистрибуиранить,2.0
дистрибутив,1.69897
дистрибьютор,1.69897
дистрибьюшн,2.0
дисциплина,1.045757
дитер,2.0
дитлеть,2.0
дитрих,2.0
дитя,1.69897
диу,1.69897
диум,2.0
дифференциальный,2.0
дифференцированный,2.0
дифференцировать,2.0
дичь,2.0
дияй,2.0
дка,2.0
длина,0.769551
длинно,2.0
длинный,0.853872
длительность,1.39794
длительный,0.886057
длить,1.69897
длиться,0.958607
для,0.275724
длявера,2.0
дмитр,2.0
дмитриев,1.39794
дмитриевич,1.045757
дмитрий,0.721246
дмк,1.39794
дневник,1.221849
дневный,1.045757
днейвикипедия,0.823909
днейстатья,1.30103
днейстраница,2.0
днемсоюзный,1.69897
днепр,2.0
днепро,1.69897
днепровский,2.0
днестр,1.69897
днище,2.0
днк,1.69897
дно,1.522879
днр,1.69897
добавить,0.585027
добавиться,1.69897
добавление,1.045757
добавлять,1.09691
добавляться,2.0
добар,1.69897
добиваться,1.154902
добираться,2.0
добить,2.0
добиться,0.886057
доблесть,1.522879
добой,1.69897
добойский,1.69897
добраться,1.39794
добретич,1.69897
добрить,2.0
добро,1.39794
доброволец,1.154902
добровольно,2.0
добровольный,1.045757
добровольческий,1.30103
добродеев,2.0
добродетель,2.0
добродушный,2.0
доброжелательность,2.0
добронамеренный,2.0
добросовестно,1.69897
добросовестный,1.522879
добрососедский,1.69897
добрососедство,2.0
добруджа,1.39794
добрыгин,1.69897
добрый,0.920819
добывать,1.39794
добыть,1.522879
добыча,1.154902
дов,2.0
довейко,2.0
доверенность,2.0
доверенный,2.0
доверие,1.09691
доверительный,2.0
доверить,2.0
довериться,2.0
доверять,1.39794
довести,1.69897
довод,2.0
доводиться,2.0
довоенный,1.522879
довольно,0.744727
довольный,1.522879
доврата,2.0
догадаться,2.0
догадываться,2.0
догма,1.69897
договариваться,1.69897
договор,0.49485
договориться,1.154902
договорный,1.154902
договорённость,1.30103
договый,1.69897
догонять,1.69897
додатака,2.0
додатный,2.0
додатня,2.0
доделать,2.0
доделить,2.0
додело,2.0
доджа,2.0
додзин,1.69897
додзинси,1.69897
додик,1.522879
додый,2.0
доехать,2.0
дождаться,2.0
дождевой,2.0
дождь,0.920819
дозаправка,2.0
дозвол,2.0
дозволить,1.69897
дозор,2.0
дозорный,2.0
доиранский,2.0
доисламский,1.69897
доисторический,1.522879
дой,1.69897
дойло,2.0
дойти,1.39794
док,1.154902
доказательный,2.0
доказательство,1.154902
доказать,1.0
доказывать,1.221849
докатиться,2.0
докич,2.0
докла,2.0
доклад,0.958607
докладная,1.69897
докладчик,2.0
доковый,2.0
доколе,1.69897
доколумбова,2.0
доктор,0.721246
доктрина,1.221849
документ,0.481486
документально,1.69897
документальный,1.09691
документация,1.154902
документирование,1.154902
документированный,2.0
документироваться,2.0
дол,2.0
долази,2.0
долара,2.0
долг,0.958607
долгий,0.769551
долго,0.886057
долгов,1.69897
долговой,2.0
долговременный,1.39794
долгоживущий,1.522879
долгожительница,2.0
долгоправить,2.0
долгосрочный,1.221849
долгота,1.522879
долетать,1.69897
долететь,2.0
долженствовать,2.0
долженъ,1.69897
должное,1.69897
должностной,1.30103
должность,0.60206
должный,0.21467
долина,0.958607
долихен,2.0
долл,1.154902
доллар,0.677781
долларовый,1.69897
долли,1.69897
долмабахча,2.0
доложить,2.0
долучиться,2.0
доля,0.823909
дом,0.39794
домалевац,1.69897
домашний,1.045757
домен,1.045757
доменикать,1.69897
доменико,1.69897
доменный,1.69897
домик,2.0
доминанта,2.0
доминго,1.69897
доминик,1.154902
доминиканец,2.0
доминиканский,1.09691
доминион,1.522879
доминирование,2.0
доминировать,1.154902
домнин,2.0
домовладелец,2.0
домовой,2.0
домодедово,1.69897
домой,1.39794
домохозяйство,2.0
домрачев,1.69897
домысел,2.0
дон,0.79588
доналд,2.0
дональд,1.221849
донатас,1.69897
донбасс,1.09691
донбассеимпичмент,1.69897
донбасский,2.0
донен,1.69897
донесение,1.522879
донецк,1.522879
донецкий,1.39794
донжон,1.69897
дониня,2.0
донка,2.0
донкова,2.0
донор,1.69897
донорский,2.0
донос,2.0
донохью,2.0
донский,1.09691
донской,2.0
донь,1.69897
донья,1.69897
дооборудование,2.0
доп,0.619789
допечатный,2.0
допинг,2.0
доподлинно,1.522879
доподростковый,2.0
дополнение,0.69897
дополнениезадача,2.0
дополнительно,1.39794
дополнительный,0.036212
дополнить,1.045757
дополнять,2.0
дополняться,1.69897
допомочь,2.0
доппельгангер,1.69897
допризывный,2.0
доприносиразговор,2.0
допус,2.0
допуск,1.522879
допускать,1.0
допускаться,1.045757
допустимый,1.154902
допустить,1.045757
допущение,1.69897
дора,2.0
дорабатываться,2.0
доработать,2.0
доработка,1.69897
дораэмона,2.0
дореволюционный,1.30103
дорен,1.69897
дорис,2.0
дорнакер,1.69897
дорога,0.481486
дорого,1.69897
дорогой,1.30103
дорогостоящий,1.69897
дорожить,2.0
дорожка,2.0
дорожный,1.522879
дороманский,2.0
дороньский,2.0
дороти,2.0
дорофей,1.69897
дорохов,2.0
доррис,2.0
дортелли,2.0
дортмунд,1.69897
дортмундский,2.0
дору,2.0
дорчестер,2.0
дорчестерский,2.0
доселе,1.69897
доска,1.39794
досконально,2.0
дословно,1.39794
дословный,2.0
досмотр,2.0
досрочно,2.0
досрочный,1.045757
доставить,1.045757
доставка,1.30103
доставлять,1.69897
достальной,2.0
достаток,2.0
достаточно,0.677781
достаточность,1.69897
достаточный,0.920819
достать,2.0
достаться,1.39794
достигаемый,1.69897
достигать,1.045757
достигаться,1.39794
достигнутый,1.522879
достигнуть,0.455932
достижение,0.853872
достижимый,2.0
достоверно,1.69897
достоверность,1.154902
достоверный,1.522879
достоевский,1.39794
достоинство,0.958607
достоинствокавалер,2.0
достойный,1.30103
достопочтенный,2.0
достояние,1.39794
достреливать,1.69897
достроить,2.0
доступ,0.69897
доступан,2.0
доступний,2.0
доступнить,2.0
доступно,1.39794
доступность,1.221849
доступный,0.022276
достык,2.0
дость,2.0
досуг,2.0
досье,2.0
досягаемость,1.69897
дот,2.0
дотара,2.0
дотация,2.0
дотронуться,2.0
доуден,1.69897
доудсвелла,2.0
доул,2.0
доулата,2.0
доунлан,2.0
доха,1.69897
доход,0.886057
доходить,1.154902
доходный,1.522879
дохта,2.0
дохтара,2.0
доч,2.0
дочерний,2.0
дочка,2.0
дочь,0.79588
дошкольный,1.522879
драга,1.69897
драган,1.522879
драгомир,1.69897
драгоценность,1.69897
драгоценный,1.522879
драгун,1.69897
драгунский,1.39794
драйв,2.0
драйвер,1.522879
драйден,2.0
дракон,1.39794
драконовый,2.0
дракула,1.69897
дракулешти,2.0
драма,1.0
драматизм,2.0
драматический,1.154902
драматург,0.958607
драматургия,2.0
драмех,2.0
дранг,1.69897
драпировка,1.69897
дрв,1.69897
дрвар,1.522879
древесина,2.0
древесный,1.69897
древко,1.69897
древковый,1.69897
древнеармянский,1.045757
древнегреческий,1.221849
древнееврейский,2.0
древнеегипетский,1.522879
древнеиндийский,1.045757
древнеирать,2.0
древнеперсидский,1.522879
древнеримский,1.522879
древнерусский,1.522879
древнеславянский,1.69897
древний,0.69897
древность,0.886057
дрезден,1.69897
дрезденский,2.0
дрейер,2.0
дрейф,2.0
дрейфовать,1.69897
дрейфус,1.522879
дрейфуса,2.0
дрейфусист,2.0
дрек,2.0
дрессировщик,2.0
дретель,2.0
држава,2.0
државне,2.0
дриада,2.0
дрина,1.69897
дринскай,1.39794
дрифт,2.0
дрифтер,2.0
дрк,2.0
дробет,2.0
дробление,2.0
дробность,2.0
дробязко,1.522879
дроздовский,1.69897
дроздовца,1.69897
дроздовый,1.69897
дрон,1.69897
дронт,2.0
дротик,1.69897
дрофа,1.69897
друг,0.522879
друга,2.0
другихпричина,1.69897
другой,0.004365
дружба,1.39794
дружелюбный,1.522879
дружеский,1.30103
дружественный,1.221849
дружина,1.69897
дружинный,2.0
дрю,1.69897
дрюмона,2.0
дство,2.0
дтп,2.0
дуайен,2.0
дуайт,1.69897
дуалистический,1.69897
дуб,1.221849
дубай,1.522879
дубинин,2.0
дубинка,1.69897
дубица,1.522879
дубликат,2.0
дублин,1.69897
дублирование,1.522879
дублировать,1.522879
дублироваться,2.0
дубляж,1.30103
дубов,1.69897
дубовый,1.69897
дубровин,1.69897
дубровинский,2.0
дубровник,2.0
дубровницкий,1.522879
дубровский,2.0
дуга,1.69897
дугин,2.0
дуглас,1.221849
дугорочать,2.0
дударец,1.69897
дудинец,1.69897
дуйсбург,1.69897
дук,2.0
дума,0.886057
думать,0.958607
думаться,1.39794
думина,1.69897
думка,2.0
думский,2.0
дунай,1.30103
дунайский,1.154902
дународный,1.69897
дунганский,1.522879
дункан,1.39794
дунский,1.69897
дунхад,2.0
дуполия,2.0
дура,1.69897
дурак,2.0
дуракович,1.69897
дурачок,2.0
дурень,2.0
дурилка,2.0
дурко,2.0
дуров,1.522879
дуть,2.0
дух,0.958607
духовенство,1.154902
духовный,0.958607
душа,0.886057
душанбе,1.69897
душевнобольной,1.69897
душевный,2.0
душегуб,2.0
дуэль,2.0
дханбад,1.69897
дхруть,1.522879
дцатый,2.0
дцать,1.39794
дыгало,1.69897
дыра,1.522879
дыхание,1.69897
дыхательный,2.0
дьон,1.69897
дьявол,2.0
дьявольский,1.522879
дьякон,2.0
дьяпанский,2.0
дьяченко,2.0
дьёрдь,2.0
дэбнуть,2.0
дэвид,0.744727
дэвидсон,1.69897
дэвидца,1.69897
дэвис,1.0
дэйв,2.0
дэйвиснуть,2.0
дэйль,2.0
дэмиан,1.69897
дэн,1.30103
дэнешти,2.0
дэниел,2.0
дэниелс,2.0
дэникен,1.69897
дэнить,2.0
дэнни,1.30103
дэнсин,2.0
дэнфорт,2.0
дэрил,2.0
дэшить,2.0
дюбвад,1.69897
дювалье,1.69897
дюваля,2.0
дюжеть,2.0
дюжина,2.0
дюйм,2.0
дюймовочка,1.69897
дюймовый,1.69897
дюк,1.522879
дюкан,2.0
дюков,2.0
дюма,2.0
дюмин,2.0
дюна,2.0
дюнкерк,2.0
дюпюи,2.0
дюрер,2.0
дюрсо,2.0
дюссельдорф,1.522879
дюссельдорфский,1.69897
дюфора,2.0
дюшо,2.0
дядя,1.69897
дёкий,2.0
дёмин,2.0
дёмушкин,2.0
дёргаться,2.0
дёшево,2.0
еау,2.0
ебрра,1.69897
ева,1.522879
еван,2.0
евангелиона,2.0
евангелист,1.69897
евангелический,1.69897
евангелическо,2.0
евангельский,2.0
евгений,0.677781
евдокия,2.0
евич,2.0
евкуров,2.0
евле,2.0
евлогий,2.0
евпатория,1.522879
евр,2.0
евраз,2.0
евразийский,1.69897
евразия,1.522879
евреикультура,2.0
еврей,0.79588
еврейка,2.0
еврейский,0.638272
еврейско,1.69897
еврейство,2.0
евримаж,2.0
евро,0.958607
евроарктический,2.0
евроатом,2.0
евробондать,2.0
евровидение,1.154902
евродепутат,2.0
еврокомиссия,2.0
евроконтроль,2.0
евромайдан,2.0
еврооблигация,2.0
европа,0.366532
европарламент,1.522879
европеец,0.886057
европейский,0.443697
европеоидный,2.0
европить,2.0
европйескай,2.0
европйеский,2.0
европол,2.0
европыимперия,2.0
евросоюз,1.09691
евростат,2.0
евротоннель,2.0
еврохим,2.0
евроюстома,2.0
евсеевелить,1.69897
евский,1.69897
евстафий,1.69897
евтич,2.0
евтушенко,2.0
евтушенков,2.0
евтягин,2.0
евфимий,2.0
евфрасий,2.0
евфросина,2.0
егиазар,1.69897
египет,0.721246
египетский,0.79588
египтянин,1.69897
егор,1.39794
егоренко,2.0
егоров,1.30103
егорович,2.0
егф,2.0
егэ,2.0
еда,1.522879
едва,1.69897
едесский,1.69897
еджер,1.69897
единение,1.39794
единица,0.619789
единичный,1.69897
единобожие,2.0
единоборство,1.522879
единоверец,1.69897
единоверческий,2.0
единогласно,1.39794
единодушный,2.0
единомышленник,1.522879
единообразие,2.0
единообразный,2.0
единоплеменник,1.69897
единственно,2.0
единственный,0.481486
единство,1.0
единый,0.481486
едч,1.69897
ежегодник,1.522879
ежегодно,1.045757
ежегодный,1.045757
ежедневно,1.09691
ежедневный,1.39794
ежемесячно,2.0
ежемесячный,2.0
еженедельник,2.0
еженедельно,1.69897
еженедельный,1.69897
ездить,1.154902
ездра,2.0
езеро,1.69897
езид,1.522879
ейск,1.522879
ейскеумерший,2.0
ека,2.0
екатерина,0.920819
екатеринбург,1.221849
екатеринбургский,2.0
екатеринодар,1.69897
екв,2.0
екесть,2.0
ексканцлер,2.0
ексклузивный,2.0
експлицитный,2.0
експонент,2.0
елагин,1.69897
електронский,2.0
елементарний,2.0
елена,0.886057
елизавета,0.920819
елизаветград,1.69897
елисеев,2.0
елисей,2.0
елисейский,2.0
еловчик,1.69897
ель,1.522879
ельцин,1.09691
ембарго,2.0
емелин,2.0
емельян,1.69897
емельянов,2.0
емилиан,2.0
енакиевский,2.0
енгл,2.0
енглескичланци,2.0
ендогуров,1.69897
енергетик,2.0
енкапсулирать,2.0
енний,2.0
ентитета,2.0
епархиальный,1.69897
епархия,1.69897
епископ,0.853872
епископальный,2.0
епископство,2.0
епифан,2.0
епифаний,2.0
епро,2.0
ереван,1.221849
еревич,2.0
еретик,1.69897
ермак,1.39794
ермаковский,1.69897
ермилла,2.0
ермипп,2.0
ермоген,2.0
ермократ,2.0
ермол,2.0
ермолаев,1.522879
ермолай,2.0
ермолов,2.0
ерх,2.0
ершовый,2.0
есаул,2.0
есенин,1.522879
есипенко,1.522879
если,0.420216
еспресый,2.0
есрпска,1.69897
естественно,1.221849
естественный,0.886057
естествознание,1.522879
естествоиспытатель,2.0
есть,0.823909
ефим,1.30103
ефрем,2.0
ефремов,2.0
ефрон,0.657577
ехать,2.0
ецб,2.0
ешилкя,2.0
ещепопулярный,2.0
ещё,0.017729
еэб,2.0
еэс,2.0
жаба,2.0
жабар,1.69897
жабляк,2.0
жабутийский,2.0
жаждать,2.0
жак,0.958607
жаклин,2.0
жакоб,1.69897
жаланашколь,1.522879
жалоба,1.69897
жалование,1.522879
жаловать,1.69897
жаловаться,2.0
жалость,2.0
жан,0.958607
жандармерия,2.0
жанейро,1.522879
жанмера,1.69897
жанна,1.39794
жанр,0.823909
жанровый,1.69897
жанрыпо,2.0
жара,2.0
жаркий,2.0
жаркое,2.0
жаров,2.0
жаровня,2.0
жасмина,2.0
жгут,2.0
ждаваться,2.0
жданко,1.69897
жданов,2.0
ждать,1.09691
жебрюнас,2.0
жевать,1.69897
жейко,2.0
желаемый,2.0
желание,0.920819
желанный,2.0
желательно,1.30103
желательность,1.522879
желательный,1.69897
желать,0.920819
желе,2.0
железа,2.0
железно,2.0
железнодорожник,1.39794
железнодорожный,0.657577
железный,0.657577
железняк,1.69897
железо,1.522879
железобетон,2.0
желита,2.0
желить,2.0
желос,2.0
желтогрудый,2.0
желтоногий,2.0
желудок,1.69897
желудочный,2.0
желька,2.0
желько,2.0
жемчуг,2.0
жемчужина,2.0
жемчужный,2.0
жена,0.853872
женатый,1.522879
женева,1.39794
женевский,1.39794
женевьев,1.522879
жениться,1.522879
жених,1.39794
женский,1.0
женщина,0.522879
женщинывольный,2.0
жепче,1.69897
жерлица,2.0
жермен,1.522879
жерменский,2.0
жером,2.0
жертва,0.619789
жертвовать,2.0
жертвоприношение,1.522879
жество,2.0
жестокий,1.154902
жестокость,1.522879
жечь,1.69897
жзл,1.69897
живец,2.0
живиница,1.69897
живить,2.0
живкович,2.0
живо,2.0
живой,0.744727
живописец,1.0
живописный,1.69897
живопись,1.154902
живорождение,2.0
животноводство,2.0
животное,0.920819
животныеподцарство,2.0
животный,1.39794
животрепещущий,2.0
жигмонд,2.0
жидкий,2.0
жидко,2.0
жидков,2.0
жижикина,1.69897
жизнедеятельность,2.0
жизнедеятельный,2.0
жизненно,1.39794
жизненный,0.853872
жизнеобеспечение,1.69897
жизнеспособный,1.69897
жизнь,0.327902
жилет,2.0
жилец,2.0
жилище,1.69897
жилищный,1.39794
жилой,1.045757
жильё,1.154902
жим,2.0
жир,1.69897
жирный,1.39794
житель,0.49485
жительство,1.221849
житие,1.30103
жито,2.0
житомирский,1.69897
життить,2.0
жить,0.552842
житься,2.0
жовенель,2.0
жовтний,2.0
жог,2.0
жозеп,2.0
жозефа,1.69897
жозефома,1.69897
жольт,2.0
жоля,2.0
жоминь,2.0
жонглёр,2.0
жор,1.69897
жорданиа,1.69897
жорес,2.0
жорж,2.0
жос,2.0
жох,2.0
жрец,1.69897
жудец,2.0
жуза,1.69897
жук,2.0
жуков,1.69897
жуковский,1.69897
журавка,2.0
журавский,2.0
журить,2.0
журнал,0.481486
журнали,2.0
журналист,0.823909
журналистика,1.522879
журналистка,1.522879
журналъ,1.69897
журнальный,2.0
жээнбек,2.0
жюля,1.522879
жюри,1.522879
жёлоб,1.69897
жёлтый,1.221849
жёсткий,0.958607
жёстко,1.09691
жёсткость,1.69897
забавный,1.522879
забайкалец,2.0
забайкальский,1.522879
забанить,2.0
забастовка,0.920819
забег,1.69897
забета,2.0
забивание,2.0
забирания,2.0
забияка,1.69897
заблаговременно,2.0
заблагорассудиться,1.69897
заблокировать,1.221849
заблокувалить,2.0
заблудиться,1.69897
заблуждение,1.221849
заблужение,2.0
заболеваемость,2.0
заболевание,1.221849
забор,1.69897
заборинский,2.0
заборол,2.0
заборона,2.0
заборонить,2.0
забота,1.522879
заботить,2.0
заботиться,2.0
забрать,1.69897
забросить,1.69897
забывать,1.522879
забытый,1.39794
забыть,1.221849
забюрократизир,1.69897
завадский,1.69897
завал,1.39794
заваливаться,2.0
завалишин,2.0
заведение,0.769551
заведовать,1.522879
заверение,2.0
заверить,1.30103
завершать,1.69897
завершаться,1.522879
завершение,0.721246
завершить,0.79588
завершиться,0.79588
завершённость,1.522879
завет,2.0
завещать,1.69897
завидович,1.69897
зависеть,0.744727
зависимость,0.585027
зависимый,1.0
зависность,2.0
зависнуть,2.0
зависть,2.0
завладеть,2.0
завлекательный,2.0
заво,2.0
завод,0.721246
заводить,2.0
завоевание,0.886057
завоеватель,1.30103
завоевательный,2.0
завоевать,1.0
завоз,1.69897
завозить,2.0
завой,2.0
завойкий,1.522879
заворачивать,1.69897
завоёвывать,1.522879
завропсидыкласс,2.0
завршио,2.0
завръщий,2.0
завтра,1.221849
завтрак,2.0
завысить,2.0
завьялов,2.0
завязать,2.0
завязаться,1.69897
завязка,2.0
загинуть,2.0
заглавие,2.0
заглавный,0.022276
заглубить,2.0
заглубление,2.0
заглулом,1.69897
заглуть,1.69897
заглушить,2.0
заглянуть,2.0
загнать,1.522879
заговор,1.154902
заговорить,1.522879
заговорщик,1.522879
заголовок,1.30103
загородный,2.0
загородняяольга,1.69897
заготовить,1.69897
заготовка,2.0
заготовлять,2.0
заготовляться,1.69897
заготовочный,2.0
загра,1.69897
заград,2.0
заградительный,1.522879
заграждать,2.0
заграждение,1.522879
заграницей,2.0
загранпаспорт,2.0
загранучреждение,2.0
загреб,1.522879
загружать,1.09691
загружаться,2.0
загрузить,1.154902
загрузка,1.154902
загрузчик,1.522879
загрязнение,1.30103
загрязнить,2.0
загс,2.0
загута,1.69897
зад,1.522879
задавать,1.154902
задаваться,1.09691
задавить,2.0
задание,1.045757
задать,1.221849
задаться,2.0
задача,0.537602
задевать,2.0
задействовать,1.221849
заделать,2.0
заделывать,2.0
задержание,1.39794
задержать,1.0
задерживать,1.69897
задержка,1.154902
задеть,1.69897
задний,2.0
задокументировать,1.69897
задолго,1.39794
задолженность,1.39794
задорнов,2.0
задумать,1.522879
задуматься,2.0
задумка,2.0
задумываться,1.69897
задушить,2.0
заезд,2.0
заживление,1.69897
зажиточность,2.0
заза,2.0
зазеркалье,2.0
зазимовать,2.0
зазываться,2.0
заилийский,1.69897
заимствование,1.39794
заимствовать,1.154902
заимствоваться,2.0
заинтересованность,1.522879
заинтересованный,1.221849
заинтересовать,1.045757
зайончковский,1.69897
зайти,1.522879
зайца,2.0
зайцев,2.0
зак,1.522879
закабаление,2.0
закавказский,1.69897
закавказье,1.30103
заказ,1.30103
заказать,1.522879
заканимехдить,2.0
заканчивать,2.0
заканчиваться,1.30103
закария,1.522879
закарияс,2.0
закат,1.69897
закидушка,2.0
закладка,2.0
закладывать,2.0
закладываться,2.0
заключать,1.221849
заключаться,0.744727
